# LankaGlyphset rename report
# generated: 2026-06-11T08:53:46
# font: /tmp/AbhayaLibre.glyphs
# DRY_RUN: True
# total glyphs: 1203
# status counts: {'unchanged': 107, 'renamed': 701, 'skip': 388, 'ambiguous': 7}
# renamed but NOT in canonical YAML set (flagged): 386
# ambiguous (left untouched): 7
# feature-code replacements: {'classes': 0, 'featurePrefixes': 1779, 'features': 200} (total 1979)
#   featurePrefixes 'p1': 1779
#   features 'f0': 188
#   features 'f27': 12
#
old_name	new_name	status	in_standard	note
a-sinh	a-sinh	unchanged	True	base vowel
aa-sinh	aa-sinh	unchanged	True	base vowel
ae-sinh	ae-sinh	unchanged	True	base vowel
aae-sinh	aae-sinh	unchanged	True	base vowel
i-sinh	i-sinh	unchanged	True	base vowel
ii-sinh	ii-sinh	unchanged	True	base vowel
u-sinh	u-sinh	unchanged	True	base vowel
uu-sinh	uu-sinh	unchanged	True	base vowel
vocalicR-sinh	vocalicr-sinh	renamed	True	independent vowel case fix
vocalicRr-sinh	vocalicrr-sinh	renamed	True	independent vowel case fix
vocalicL-sinh	vocalicl-sinh	renamed	True	independent vowel case fix
vocalicLl-sinh	vocalicll-sinh	renamed	True	independent vowel case fix
e-sinh	e-sinh	unchanged	True	base vowel
ee-sinh	ee-sinh	unchanged	True	base vowel
ai-sinh	ai-sinh	unchanged	True	base vowel
o-sinh	o-sinh	unchanged	True	base vowel
oo-sinh	oo-sinh	unchanged	True	base vowel
au-sinh	au-sinh	unchanged	True	base vowel
ka-sinh	ka-sinh	unchanged	True	base consonant
kha-sinh	kha-sinh	unchanged	True	base consonant
ga-sinh	ga-sinh	unchanged	True	base consonant
gha-sinh	gha-sinh	unchanged	True	base consonant
nga-sinh	nga-sinh	unchanged	True	base consonant
ngga-sinh	nnga-sinh	renamed	True	base consonant
ca-sinh	ca-sinh	unchanged	True	base consonant
cha-sinh	cha-sinh	unchanged	True	base consonant
ja-sinh	ja-sinh	unchanged	True	base consonant
jha-sinh	jha-sinh	unchanged	True	base consonant
nya-sinh	nya-sinh	unchanged	True	base consonant
jnya-sinh	jnya-sinh	unchanged	True	base consonant
nyja-sinh	nyja-sinh	unchanged	False	base consonant
tta-sinh	tta-sinh	unchanged	True	base consonant
ttha-sinh	ttha-sinh	unchanged	True	base consonant
dda-sinh	dda-sinh	unchanged	True	base consonant
ddha-sinh	ddha-sinh	unchanged	True	base consonant
nna-sinh	nna-sinh	unchanged	True	base consonant
nndda-sinh	nndda-sinh	unchanged	True	base consonant
ta-sinh	ta-sinh	unchanged	True	base consonant
tha-sinh	tha-sinh	unchanged	True	base consonant
da-sinh	da-sinh	unchanged	True	base consonant
dha-sinh	dha-sinh	unchanged	True	base consonant
na-sinh	na-sinh	unchanged	True	base consonant
nda-sinh	nda-sinh	unchanged	True	base consonant
pa-sinh	pa-sinh	unchanged	True	base consonant
pha-sinh	pha-sinh	unchanged	True	base consonant
ba-sinh	ba-sinh	unchanged	True	base consonant
bha-sinh	bha-sinh	unchanged	True	base consonant
ma-sinh	ma-sinh	unchanged	True	base consonant
mba-sinh	mba-sinh	unchanged	True	base consonant
ya-sinh	ya-sinh	unchanged	True	base consonant
ra-sinh	ra-sinh	unchanged	True	base consonant
la-sinh	la-sinh	unchanged	True	base consonant
va-sinh	va-sinh	unchanged	True	base consonant
sha-sinh	sha-sinh	unchanged	True	base consonant
ssa-sinh	ssa-sinh	unchanged	True	base consonant
sa-sinh	sa-sinh	unchanged	True	base consonant
ha-sinh	ha-sinh	unchanged	True	base consonant
lla-sinh	lla-sinh	unchanged	True	base consonant
fa-sinh	fa-sinh	unchanged	True	base consonant
ka_ssa-sinh	kSsa-sinh	renamed	True	cluster base
ka_va-sinh	kVa-sinh	renamed	True	cluster base
ta_va-sinh	tVa-sinh	renamed	True	cluster base
ta_tha-sinh	tTha-sinh	renamed	True	cluster base
na_da-sinh	nDa-sinh	renamed	True	cluster base
na_dha-sinh	nDha-sinh	renamed	True	cluster base
na_va-sinh	nVa-sinh	renamed	True	cluster base
na_tha-sinh	nTha-sinh	renamed	True	cluster base
ga_dha-sinh	gDha-sinh	renamed	False	cluster base
da_va-sinh	dVa-sinh	renamed	True	cluster base
da_dha-sinh	dDha-sinh	renamed	False	cluster base
tta_ttha-sinh	ttTtha-sinh	renamed	True	cluster base
nya_ca-sinh	nyCa-sinh	renamed	True	cluster base
nya_cha-sinh	nyCha-sinh	renamed	True	cluster base
ca_ca-sinh	cCa-sinh	renamed	False	cluster base
ba_ba-sinh	bBa-sinh	renamed	False	cluster base
aae-sign-sinh	aaesign-sinh	renamed	True	standalone sign
ae-sign-sinh	aesign-sinh	renamed	True	standalone sign
ai-sign-sinh	aisign-sinh	renamed	True	standalone sign
au-sign-sinh	ausign-sinh	renamed	True	standalone sign
e-sign-sinh	esign-sinh	renamed	True	standalone sign
ee-sign-sinh	eesign-sinh	renamed	True	standalone sign
i-sign-sinh	isign-sinh	renamed	True	standalone sign
ii-sign-sinh	iisign-sinh	renamed	True	standalone sign
vocalicLl-sign-sinh	vocalicllsign-sinh	renamed	True	standalone sign
vocalicL-sign-sinh	vocaliclsign-sinh	renamed	True	standalone sign
o-sign-sinh	osign-sinh	renamed	True	standalone sign
oo-sign-sinh	oosign-sinh	renamed	True	standalone sign
vocalicR-sign-sinh	vocalicrsign-sinh	renamed	True	standalone sign
vocalicRr-sign-sinh	vocalicrrsign-sinh	renamed	True	standalone sign
u-sign-sinh	usign-sinh	renamed	True	standalone sign
uu-sign-sinh	uusign-sinh	renamed	True	standalone sign
u-sign.sub-sinh	usign.rasign-sinh	renamed	True	special contextual sign
uu-sign.sub-sinh	uusign.rasign-sinh	renamed	True	special contextual sign
al-sign-sinh	virama-sinh	renamed	True	standalone sign
rakar-sign-sinh	rasign-sinh	renamed	True	standalone sign
repha-sign-sinh	repha-sinh	renamed	True	standalone sign
anusvara-sinh	anusvaraya-sinh	renamed	True	standalone sign
candrabindu-sinh	candrabindu-sinh	unchanged	True	standalone sign
visarga-sinh	visargaya-sinh	renamed	True	standalone sign
aa-sign-sinh	aasign-sinh	renamed	True	standalone sign
aa-sign.al-sinh	aasign_virama-sinh	renamed	False	special contextual sign
touch-sinh	touch-sinh	unchanged	False	standalone sign
ka-al-sinh	k-sinh	renamed	False	pure-consonant (virama) ligature
kha-al-sinh	kh-sinh	renamed	True	pure-consonant (virama) ligature
ga-al-sinh	g-sinh	renamed	False	pure-consonant (virama) ligature
gha-al-sinh	gh-sinh	renamed	False	pure-consonant (virama) ligature
nga-al-sinh	ng-sinh	renamed	True	pure-consonant (virama) ligature
ngga-al-sinh	nng-sinh	renamed	False	pure-consonant (virama) ligature
ca-al-sinh	c-sinh	renamed	True	pure-consonant (virama) ligature
cha-al-sinh	ch-sinh	renamed	True	pure-consonant (virama) ligature
ja-al-sinh	j-sinh	renamed	True	pure-consonant (virama) ligature
jha-al-sinh	jh-sinh	renamed	True	pure-consonant (virama) ligature
nya-al-sinh	ny-sinh	renamed	False	pure-consonant (virama) ligature
jnya-al-sinh	jny-sinh	renamed	True	pure-consonant (virama) ligature
nyja-al-sinh	nyj-sinh	renamed	True	pure-consonant (virama) ligature
tta-al-sinh	tt-sinh	renamed	True	pure-consonant (virama) ligature
ttha-al-sinh	tth-sinh	renamed	True	pure-consonant (virama) ligature
dda-al-sinh	dd-sinh	renamed	True	pure-consonant (virama) ligature
ddha-al-sinh	ddh-sinh	renamed	True	pure-consonant (virama) ligature
nna-al-sinh	nn-sinh	renamed	False	pure-consonant (virama) ligature
nndda-al-sinh	nndd-sinh	renamed	True	pure-consonant (virama) ligature
ta-al-sinh	t-sinh	renamed	False	pure-consonant (virama) ligature
tha-al-sinh	th-sinh	renamed	True	pure-consonant (virama) ligature
da-al-sinh	d-sinh	renamed	False	pure-consonant (virama) ligature
dha-al-sinh	dh-sinh	renamed	True	pure-consonant (virama) ligature
na-al-sinh	n-sinh	renamed	False	pure-consonant (virama) ligature
nda-al-sinh	nd-sinh	renamed	False	pure-consonant (virama) ligature
pa-al-sinh	p-sinh	renamed	False	pure-consonant (virama) ligature
pha-al-sinh	ph-sinh	renamed	True	pure-consonant (virama) ligature
ba-al-sinh	b-sinh	renamed	True	pure-consonant (virama) ligature
bha-al-sinh	bh-sinh	renamed	False	pure-consonant (virama) ligature
ma-al-sinh	m-sinh	renamed	True	pure-consonant (virama) ligature
mba-al-sinh	mb-sinh	renamed	True	pure-consonant (virama) ligature
ya-al-sinh	y-sinh	renamed	False	pure-consonant (virama) ligature
ra-al-sinh	r-sinh	renamed	True	pure-consonant (virama) ligature
la-al-sinh	l-sinh	renamed	False	pure-consonant (virama) ligature
va-al-sinh	v-sinh	renamed	True	pure-consonant (virama) ligature
sha-al-sinh	sh-sinh	renamed	False	pure-consonant (virama) ligature
ssa-al-sinh	ss-sinh	renamed	False	pure-consonant (virama) ligature
sa-al-sinh	s-sinh	renamed	False	pure-consonant (virama) ligature
ha-al-sinh	h-sinh	renamed	False	pure-consonant (virama) ligature
lla-al-sinh	ll-sinh	renamed	False	pure-consonant (virama) ligature
fa-al-sinh	f-sinh	renamed	False	pure-consonant (virama) ligature
ka_ssa-al-sinh	kSs-sinh	renamed	False	pure-consonant (virama) ligature
ka_va-al-sinh	kV-sinh	renamed	True	pure-consonant (virama) ligature
ta_va-al-sinh	tV-sinh	renamed	False	pure-consonant (virama) ligature
ta_tha-al-sinh	tTh-sinh	renamed	False	pure-consonant (virama) ligature
na_da-al-sinh	nD-sinh	renamed	False	pure-consonant (virama) ligature
na_dha-al-sinh	nDh-sinh	renamed	False	pure-consonant (virama) ligature
na_va-al-sinh	nV-sinh	renamed	False	pure-consonant (virama) ligature
na_tha-al-sinh	nTh-sinh	renamed	False	pure-consonant (virama) ligature
ga_dha-al-sinh	gDh-sinh	renamed	False	pure-consonant (virama) ligature
da_va-al-sinh	dV-sinh	renamed	False	pure-consonant (virama) ligature
da_dha-al-sinh	dDh-sinh	renamed	False	pure-consonant (virama) ligature
tta_ttha-al-sinh	ttTth-sinh	renamed	False	pure-consonant (virama) ligature
nya_ca-al-sinh	nyC-sinh	renamed	False	pure-consonant (virama) ligature
nya_cha-al-sinh	nyCh-sinh	renamed	False	pure-consonant (virama) ligature
ca_ca-al-sinh	cC-sinh	renamed	False	pure-consonant (virama) ligature
ba_ba-al-sinh	bB-sinh	renamed	False	pure-consonant (virama) ligature
ka-i-sinh	kI-sinh	renamed	False	consonant+vowel-sign ligature
kha-i-sinh	khI-sinh	renamed	True	consonant+vowel-sign ligature
ga-i-sinh	gI-sinh	renamed	False	consonant+vowel-sign ligature
gha-i-sinh	ghI-sinh	renamed	False	consonant+vowel-sign ligature
nga-i-sinh	ngI-sinh	renamed	True	consonant+vowel-sign ligature
ngga-i-sinh	nngI-sinh	renamed	False	consonant+vowel-sign ligature
ca-i-sinh	cI-sinh	renamed	True	consonant+vowel-sign ligature
cha-i-sinh	chI-sinh	renamed	True	consonant+vowel-sign ligature
ja-i-sinh	jI-sinh	renamed	True	consonant+vowel-sign ligature
jha-i-sinh	jhI-sinh	renamed	True	consonant+vowel-sign ligature
nya-i-sinh	nyI-sinh	renamed	False	consonant+vowel-sign ligature
jnya-i-sinh	jnyI-sinh	renamed	True	consonant+vowel-sign ligature
nyja-i-sinh	nyjI-sinh	renamed	True	consonant+vowel-sign ligature
tta-i-sinh	ttI-sinh	renamed	True	consonant+vowel-sign ligature
ttha-i-sinh	tthI-sinh	renamed	True	consonant+vowel-sign ligature
dda-i-sinh	ddI-sinh	renamed	True	consonant+vowel-sign ligature
ddha-i-sinh	ddhI-sinh	renamed	True	consonant+vowel-sign ligature
nna-i-sinh	nnI-sinh	renamed	False	consonant+vowel-sign ligature
nndda-i-sinh	nnddI-sinh	renamed	True	consonant+vowel-sign ligature
ta-i-sinh	tI-sinh	renamed	False	consonant+vowel-sign ligature
tha-i-sinh	thI-sinh	renamed	True	consonant+vowel-sign ligature
da-i-sinh	dI-sinh	renamed	False	consonant+vowel-sign ligature
dha-i-sinh	dhI-sinh	renamed	True	consonant+vowel-sign ligature
na-i-sinh	nI-sinh	renamed	False	consonant+vowel-sign ligature
nda-i-sinh	ndI-sinh	renamed	False	consonant+vowel-sign ligature
pa-i-sinh	pI-sinh	renamed	False	consonant+vowel-sign ligature
pha-i-sinh	phI-sinh	renamed	True	consonant+vowel-sign ligature
ba-i-sinh	bI-sinh	renamed	True	consonant+vowel-sign ligature
bha-i-sinh	bhI-sinh	renamed	False	consonant+vowel-sign ligature
ma-i-sinh	mI-sinh	renamed	True	consonant+vowel-sign ligature
mba-i-sinh	mbI-sinh	renamed	True	consonant+vowel-sign ligature
ya-i-sinh	yI-sinh	renamed	False	consonant+vowel-sign ligature
ra-i-sinh	rI-sinh	renamed	True	consonant+vowel-sign ligature
la-i-sinh	lI-sinh	renamed	False	consonant+vowel-sign ligature
va-i-sinh	vI-sinh	renamed	True	consonant+vowel-sign ligature
sha-i-sinh	shI-sinh	renamed	False	consonant+vowel-sign ligature
ssa-i-sinh	ssI-sinh	renamed	False	consonant+vowel-sign ligature
sa-i-sinh	sI-sinh	renamed	False	consonant+vowel-sign ligature
ha-i-sinh	hI-sinh	renamed	False	consonant+vowel-sign ligature
lla-i-sinh	llI-sinh	renamed	False	consonant+vowel-sign ligature
fa-i-sinh	fI-sinh	renamed	False	consonant+vowel-sign ligature
ka_ssa-i-sinh	kSsI-sinh	renamed	False	consonant+vowel-sign ligature
ka_va-i-sinh	kVI-sinh	renamed	True	consonant+vowel-sign ligature
ta_va-i-sinh	tVI-sinh	renamed	True	consonant+vowel-sign ligature
ta_tha-i-sinh	tThI-sinh	renamed	True	consonant+vowel-sign ligature
na_da-i-sinh	nDI-sinh	renamed	True	consonant+vowel-sign ligature
na_dha-i-sinh	nDhI-sinh	renamed	True	consonant+vowel-sign ligature
na_va-i-sinh	nVI-sinh	renamed	False	consonant+vowel-sign ligature
na_tha-i-sinh	nThI-sinh	renamed	True	consonant+vowel-sign ligature
ga_dha-i-sinh	gDhI-sinh	renamed	False	consonant+vowel-sign ligature
da_va-i-sinh	dVI-sinh	renamed	False	consonant+vowel-sign ligature
da_dha-i-sinh	dDhI-sinh	renamed	False	consonant+vowel-sign ligature
tta_ttha-i-sinh	ttTthI-sinh	renamed	False	consonant+vowel-sign ligature
nya_ca-i-sinh	nyCI-sinh	renamed	False	consonant+vowel-sign ligature
nya_cha-i-sinh	nyChI-sinh	renamed	False	consonant+vowel-sign ligature
ca_ca-i-sinh	cCI-sinh	renamed	False	consonant+vowel-sign ligature
ba_ba-i-sinh	bBI-sinh	renamed	False	consonant+vowel-sign ligature
ka-ii-sinh	kIi-sinh	renamed	False	consonant+vowel-sign ligature
kha-ii-sinh	khIi-sinh	renamed	True	consonant+vowel-sign ligature
ga-ii-sinh	gIi-sinh	renamed	False	consonant+vowel-sign ligature
gha-ii-sinh	ghIi-sinh	renamed	False	consonant+vowel-sign ligature
nga-ii-sinh	ngIi-sinh	renamed	True	consonant+vowel-sign ligature
ngga-ii-sinh	nngIi-sinh	renamed	False	consonant+vowel-sign ligature
ca-ii-sinh	cIi-sinh	renamed	True	consonant+vowel-sign ligature
cha-ii-sinh	chIi-sinh	renamed	True	consonant+vowel-sign ligature
ja-ii-sinh	jIi-sinh	renamed	True	consonant+vowel-sign ligature
jha-ii-sinh	jhIi-sinh	renamed	True	consonant+vowel-sign ligature
nya-ii-sinh	nyIi-sinh	renamed	False	consonant+vowel-sign ligature
jnya-ii-sinh	jnyIi-sinh	renamed	True	consonant+vowel-sign ligature
nyja-ii-sinh	nyjIi-sinh	renamed	True	consonant+vowel-sign ligature
tta-ii-sinh	ttIi-sinh	renamed	True	consonant+vowel-sign ligature
ttha-ii-sinh	tthIi-sinh	renamed	True	consonant+vowel-sign ligature
dda-ii-sinh	ddIi-sinh	renamed	True	consonant+vowel-sign ligature
ddha-ii-sinh	ddhIi-sinh	renamed	True	consonant+vowel-sign ligature
nna-ii-sinh	nnIi-sinh	renamed	False	consonant+vowel-sign ligature
nndda-ii-sinh	nnddIi-sinh	renamed	True	consonant+vowel-sign ligature
ta-ii-sinh	tIi-sinh	renamed	False	consonant+vowel-sign ligature
tha-ii-sinh	thIi-sinh	renamed	True	consonant+vowel-sign ligature
da-ii-sinh	dIi-sinh	renamed	False	consonant+vowel-sign ligature
dha-ii-sinh	dhIi-sinh	renamed	True	consonant+vowel-sign ligature
na-ii-sinh	nIi-sinh	renamed	False	consonant+vowel-sign ligature
nda-ii-sinh	ndIi-sinh	renamed	False	consonant+vowel-sign ligature
pa-ii-sinh	pIi-sinh	renamed	False	consonant+vowel-sign ligature
pha-ii-sinh	phIi-sinh	renamed	True	consonant+vowel-sign ligature
ba-ii-sinh	bIi-sinh	renamed	True	consonant+vowel-sign ligature
bha-ii-sinh	bhIi-sinh	renamed	False	consonant+vowel-sign ligature
ma-ii-sinh	mIi-sinh	renamed	True	consonant+vowel-sign ligature
mba-ii-sinh	mbIi-sinh	renamed	True	consonant+vowel-sign ligature
ya-ii-sinh	yIi-sinh	renamed	False	consonant+vowel-sign ligature
ra-ii-sinh	rIi-sinh	renamed	True	consonant+vowel-sign ligature
la-ii-sinh	lIi-sinh	renamed	False	consonant+vowel-sign ligature
va-ii-sinh	vIi-sinh	renamed	True	consonant+vowel-sign ligature
sha-ii-sinh	shIi-sinh	renamed	False	consonant+vowel-sign ligature
ssa-ii-sinh	ssIi-sinh	renamed	False	consonant+vowel-sign ligature
sa-ii-sinh	sIi-sinh	renamed	False	consonant+vowel-sign ligature
